House_ID	WGS_ID_as_string	Isolate_Type	forced_EC_scheme	MLST results	rMLST_specie	ST	ExPEC	ETEC	EPEC	STEC	EAEC	DAEC	EIEC	CRO
SD0005	103	Water	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	0
SD0005	104	Stool Samples Mother	ecoli	ecoli	Escherichia coli	452	No	No	No	No	No	No	No	0
SD0005	105	Stool Samples Child	ecoli	ecoli	Escherichia coli	38	MaybeExPEC	No	No	No	No	Yes	No	0
SD0005	106	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	2847	No	No	No	No	No	No	No	1
SD0005	107	Stool Samples Child + Ceftriaxone	ecoli	ecoli	Escherichia coli	-	No	No	No	No	No	No	No	1
SD0205	108	Water	ecoli	ecoli	Escherichia coli	5296	No	No	No	No	No	No	No	0
SD0205	109	Water + Ceftriaxone	ecoli	ecoli	Escherichia coli	1196	No	No	No	No	No	No	No	1
SD0205	110	Stool Samples Mother	ecoli	ecoli	Escherichia coli	656	No	No	No	No	No	No	No	0
SD0205	111	Stool Samples Child	ecoli	ecoli	Escherichia coli	349	No	No	No	No	No	No	No	0
SD0143	113	Stool Samples Mother	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	0
SD0143	114	Stool Samples Child	ecoli	ecoli	Escherichia coli	5156	No	No	No	No	No	No	No	0
SD0143	115	Stool Samples Mother + Ceftriaxone	ecoli	ecoli	Escherichia coli	10	No	No	No	No	No	No	No	1
SD0153	116	Water	ecoli	ecoli	Escherichia coli	1643	No	No	No	No	No	No	No	0
SD0153	117	Stool Samples Mother	ecoli	ecoli	Escherichia coli	10	MaybeExPEC	No	No	No	No	No	No	0
SD0153	118	Stool Samples Child	ecoli	ecoli	Escherichia coli	155	No	No	No	No	No	No	No	0
SD0008	119	Water	ecoli	ecoli	Escherichia coli	155	No	No	No	No	No	No	No	0
SD0008	120	Water + Ceftriaxone	ecoli	ecoli	Escherichia coli	167	No	No	No	No	No	No	No	1
SD0008	121	Stool Samples Mother	ecoli	ecoli	Escherichia coli	38	No	No	No	No	No	No	No	0
SD0008	122	Stool Samples Child	ecoli	ecoli	Escherichia coli	38	No	No	No	No	No	No	No	0
