sample_name.y	Hnum.x	Lnum.x	key	Filename	PubMLST_scheme_name	SeqType	RESIST_NUM_FOUND
AA	GKHY	2	AA_HGKHY_L2	AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta	ecoli	155	8
AB	GKHY	2	AB_HGKHY_L2	AB_CKDN230030155-1A_HGKHYDSX7_L2.fasta	ecoli	6186	2
AB	GLMJ	1	AB_HGLMJ_L1	AB_CKDN230030155-1A_HGLMJDSX7_L1.fasta	ecoli	6186	2
AC	GKHY	2	AC_HGKHY_L2	AC_CKDN230030156-1A_HGKHYDSX7_L2.fasta	pputida	-	0
AD	GKHY	2	AD_HGKHY_L2	AD_CKDN230030157-1A_HGKHYDSX7_L2.fasta	ecoli	6018	1
AD	GKYJ	1	AD_HGKYJ_L1	AD_CKDN230030157-1A_HGKYJDSX7_L1.fasta	ecoli	6018	1
AE	GKHY	2	AE_HGKHY_L2	AE_CKDN230030158-1A_HGKHYDSX7_L2.fasta	-	-	0
AF	GKHY	2	AF_HGKHY_L2	AF_CKDN230030159-1A_HGKHYDSX7_L2.fasta	kpneumoniae	15	18
AG	GKHY	2	AG_HGKHY_L2	AG_CKDN230030160-1A_HGKHYDSX7_L2.fasta	ecoli	6186	2
AH	GKHY	2	AH_HGKHY_L2	AH_CKDN230030161-1A_HGKHYDSX7_L2.fasta	ecloacae	-	4
AH	GKYJ	1	AH_HGKYJ_L1	AH_CKDN230030161-1A_HGKYJDSX7_L1.fasta	ecloacae	-	4
AI	GKHY	2	AI_HGKHY_L2	AI_CKDN230030162-1A_HGKHYDSX7_L2.fasta	ecoli	-	6
AJ	GKHY	2	AJ_HGKHY_L2	AJ_CKDN230030163-1A_HGKHYDSX7_L2.fasta	ecoli	8612	1
AK	GKHY	2	AK_HGKHY_L2	AK_CKDN230030164-1A_HGKHYDSX7_L2.fasta	-	-	0
AL	GKHY	2	AL_HGKHY_L2	AL_CKDN230030165-1A_HGKHYDSX7_L2.fasta	-	-	0
AM	GKHY	2	AM_HGKHY_L2	AM_CKDN230030166-1A_HGKHYDSX7_L2.fasta	kpneumoniae	661	14
AN	GKHY	2	AN_HGKHY_L2	AN_CKDN230030167-1A_HGKHYDSX7_L2.fasta	-	-	0
AO	GKHY	2	AO_HGKHY_L2	AO_CKDN230030168-1A_HGKHYDSX7_L2.fasta	aeromonas	-	3
AP	GKHY	2	AP_HGKHY_L2	AP_CKDN230030169-1A_HGKHYDSX7_L2.fasta	ecoli	120	11
AQ	GKHY	2	AQ_HGKHY_L2	AQ_CKDN230030170-1A_HGKHYDSX7_L2.fasta	aeromonas	-	3
AR	GKHY	2	AR_HGKHY_L2	AR_CKDN230030171-1A_HGKHYDSX7_L2.fasta	ecoli	155	8
AS	GKHY	2	AS_HGKHY_L2	AS_CKDN230030172-1A_HGKHYDSX7_L2.fasta	ecoli	641	5
AS	GKYJ	3	AS_HGKYJ_L3	AS_CKDN230030172-1A_HGKYJDSX7_L3.fasta	ecoli	641	5
AT	GKHY	2	AT_HGKHY_L2	AT_CKDN230030173-1A_HGKHYDSX7_L2.fasta	ecoli	6186	2
AU	GKHY	2	AU_HGKHY_L2	AU_CKDN230030174-1A_HGKHYDSX7_L2.fasta	pputida	-	2
AV	GKHY	2	AV_HGKHY_L2	AV_CKDN230030175-1A_HGKHYDSX7_L2.fasta	paeruginosa	2629	5
AW	GKHY	2	AW_HGKHY_L2	AW_CKDN230030176-1A_HGKHYDSX7_L2.fasta	-	-	0
AX	GKHY	2	AX_HGKHY_L2	AX_CKDN230030177-1A_HGKHYDSX7_L2.fasta	ecoli	155	9
AY	GKHY	2	AY_HGKHY_L2	AY_CKDN230030178-1A_HGKHYDSX7_L2.fasta	ecoli	6186	2
AY	GKYJ	3	AY_HGKYJ_L3	AY_CKDN230030178-1A_HGKYJDSX7_L3.fasta	ecoli	6186	2
AZ	GKHY	2	AZ_HGKHY_L2	AZ_CKDN230030179-1A_HGKHYDSX7_L2.fasta	pputida	-	0
A	GKHY	2	A_HGKHY_L2	A_CKDN230030134-1A_HGKHYDSX7_L2.fasta	kpneumoniae	15	18
BA	GKHY	2	BA_HGKHY_L2	BA_CKDN230030180-1A_HGKHYDSX7_L2.fasta	ecoli	1204	5
BB	GKHY	2	BB_HGKHY_L2	BB_CKDN230030181-1A_HGKHYDSX7_L2.fasta	ecoli	6186	1
BB	GKYJ	3	BB_HGKYJ_L3	BB_CKDN230030181-1A_HGKYJDSX7_L3.fasta	ecoli	6186	1
BC	GKHY	2	BC_HGKHY_L2	BC_CKDN230030182-1A_HGKHYDSX7_L2.fasta	-	-	0
BD	GKHY	2	BD_HGKHY_L2	BD_CKDN230030183-1A_HGKHYDSX7_L2.fasta	-	-	0
B	GKHY	2	B_HGKHY_L2	B_CKDN230030135-1A_HGKHYDSX7_L2.fasta	ecoli	641	2
C	GKHY	2	C_HGKHY_L2	C_CKDN230030136-1A_HGKHYDSX7_L2.fasta	kpneumoniae	1310	4
D	GKHY	2	D_HGKHY_L2	D_CKDN230030137-1A_HGKHYDSX7_L2.fasta	pputida	-	0
E	GKHY	2	E_HGKHY_L2	E_CKDN230030138-1A_HGKHYDSX7_L2.fasta	ecoli	117	11
F	GKHY	2	F_HGKHY_L2	F_CKDN230030139-1A_HGKHYDSX7_L2.fasta	pputida	3	0
G	GKHY	2	G_HGKHY_L2	G_CKDN230030140-1A_HGKHYDSX7_L2.fasta	cfreundii	-	2
H	GKHY	2	H_HGKHY_L2	H_CKDN230030141-1A_HGKHYDSX7_L2.fasta	ecoli	6186	2
J	GKHY	2	J_HGKHY_L2	J_CKDN230030143-1A_HGKHYDSX7_L2.fasta	ecoli	3580	3
K	GKHY	2	K_HGKHY_L2	K_CKDN230030144-1A_HGKHYDSX7_L2.fasta	ecoli	6186	2
L	GKHY	2	L_HGKHY_L2	L_CKDN230030145-1A_HGKHYDSX7_L2.fasta	-	-	0
P	GKHY	2	P_HGKHY_L2	P_CKDN230030146-1A_HGKHYDSX7_L2.fasta	kpneumoniae	15	18
Q	GKHY	2	Q_HGKHY_L2	Q_CKDN230030147-1A_HGKHYDSX7_L2.fasta	kpneumoniae	15	18
R	GKHY	2	R_HGKHY_L2	R_CKDN230030148-1A_HGKHYDSX7_L2.fasta	ecoli	351	2
S	GKHY	2	S_HGKHY_L2	S_CKDN230030149-1A_HGKHYDSX7_L2.fasta	paeruginosa	1414	5
T	GKHY	2	T_HGKHY_L2	T_CKDN230030150-1A_HGKHYDSX7_L2.fasta	ecoli	2705	2
W	GKHY	2	W_HGKHY_L2	W_CKDN230030151-1A_HGKHYDSX7_L2.fasta	aeromonas	-	3
Y	GKHY	2	Y_HGKHY_L2	Y_CKDN230030152-1A_HGKHYDSX7_L2.fasta	ecoli	48	4
Z	GKHY	2	Z_HGKHY_L2	Z_CKDN230030153-1A_HGKHYDSX7_L2.fasta	ecoli	48	2
I	NA	NA	I_HGKHY_L2	NA	NA	NA	0
