sample_name	sample_name_as_string	seqCoSID	sample_title	forced_EC_scheme	ST	UPEC	ETEC	tEPEC	aEPEC	EHEC	EAEC	DAEC	EIEC	phylogroup
1	1	1	farm irrigation water	ecoli	162	0	0	0	0	0	0	0	0	B1
2	2	2	farm irrigation water	ecoli	10	0	0	0	0	0	0	0	0	A
3	3	3	farm irrigation water	ecoli	117	0	0	0	0	0	0	0	0	G
4	4	4	farm irrigation water	ecoli	40	0	0	0	0	0	0	0	0	B1
5	5	5	farm irrigation water	ecoli	69	0	0	0	0	0	0	0	0	D
7	7	7	farm irrigation water	ecoli	156	0	0	0	0	0	0	0	0	B1
6	6	6	lettuce	ecoli	1673	0	0	0	0	0	0	0	0	B1
8	8	8	lettuce	ecoli	5229	0	0	0	0	0	0	0	0	B1
9	9	9	farm irrigation water	ecoli	3902	0	0	0	0	0	0	0	0	A
10	10	10	farm irrigation water	ecoli	744	0	0	0	0	0	0	0	0	A
11	11	11	farm irrigation water	ecoli	2601	0	0	0	0	0	0	0	0	A
12	12	12	farm irrigation water	ecoli	602	0	0	0	0	0	0	0	0	B1
13	13	13	farm irrigation water	ecoli	117	0	0	0	0	0	0	0	0	G
14	14	14	cilantro	ecoli	1193	1	0	0	0	0	0	0	0	B2
15	15	15	cilantro	ecoli	162	0	0	0	0	0	0	0	0	B1
16	16	16	lettuce	ecoli	129	0	0	0	0	0	0	0	0	B1
17	17	17	cilantro	ecoli	1727	0	0	0	0	0	0	0	0	B1
18	18	18	lettuce	ecoli	1193	1	0	0	0	0	0	0	0	B2
19	19	19	farm irrigation water	ecoli	4049	0	0	0	0	0	0	0	0	B1
20	20	20	farm irrigation water	ecoli	1193	1	0	0	0	0	0	0	0	B2
21	21	21	farm irrigation water	ecoli	38	0	0	0	0	0	0	0	0	D
22	22	22	farm irrigation water	ecoli	5229	0	0	0	0	0	0	0	0	B1
23	23	23	farm irrigation water	ecoli	1049	0	0	0	0	0	0	0	0	B1
24	24	24	farm irrigation water	ecoli	424	0	0	0	0	0	0	0	0	B1
25	25	25	farm irrigation water	ecoli	349	0	0	0	0	0	0	0	0	D
26	26	26	farm irrigation water	ecoli	457	0	0	0	0	0	0	0	0	F
28	28	28	farm irrigation water	ecoli	-	0	0	0	0	0	0	0	0	A
27	27	27	lettuce	ecoli	720	0	0	0	0	0	0	0	0	D
29	29	29	farm irrigation water	ecoli	38	0	0	0	0	0	0	1	0	D
30	30	30	strawberry	ecoli	2328	0	0	0	0	0	0	0	0	B1
31	31	31	farm irrigation water	ecoli	182	0	0	0	0	0	0	0	0	E
32	32	32	farm irrigation water	ecoli	-	0	0	0	0	0	0	0	0	A
33	33	33	cilantro	ecoli	642	0	0	0	0	0	0	0	0	B1
34	34	34	farm irrigation water	ecoli	58	0	0	0	0	0	0	0	0	B1
35	35	35	farm irrigation water	ecoli	156	0	0	0	0	0	0	0	0	B1
36	36	36	basil	ecoli	2280	0	0	0	0	0	0	0	0	B1
37	37	37	lettuce	ecoli	58	0	0	0	0	0	0	0	0	B1
38	38	38	farm irrigation water	ecoli	453	0	0	0	0	0	0	0	0	B1
