*sample_name	sample_title	bioproject_accession	*strain	isolate_name_alias	seqFileName	AI5395_Name	User Sample Name	Best match	Similarity	ANI	Note
1	farm irrigation water	NA	not applicable	YW1_1128	AI-5395_1_1_assembly.fasta	1	1	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.271	0.9729	save this to tsv, place with code.
2	farm irrigation water	NA	not applicable	YW2_1128	AI-5395_2_2_assembly.fasta	2	2	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.2746	0.9732	https://docs.google.com/spreadsheets/d/1uKay8A3sv85za69yvA1ItkSVpULWgme540LCHBwI2bY/edit?usp=drive_link
3	farm irrigation water	NA	not applicable	YW3_1128	AI-5395_3_3_assembly.fasta	3	3	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.3654	0.98	NA
4	farm irrigation water	NA	not applicable	YW4_1128	AI-5395_4_4_assembly.fasta	4	4	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.2655	0.9724	NA
5	farm irrigation water	NA	not applicable	YW28_0204	AI-5395_5_5_assembly.fasta	5	5	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.268	0.9726	NA
7	farm irrigation water	NA	not applicable	YW26_0204	AI-5395_6_6_assembly.fasta	6	6	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.2711	0.9729	NA
6	lettuce	NA	not applicable	YL28_0204	AI-5395_7_7_assembly.fasta	7	7	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.2719	0.973	NA
8	lettuce	NA	not applicable	YL14_1215	AI-5395_8_8_assembly.fasta	8	8	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.2771	0.9734	NA
9	farm irrigation water	NA	not applicable	YW30_0204	AI-5395_9_9_assembly.fasta	9	9	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.2637	0.9722	NA
10	farm irrigation water	NA	not applicable	YW23_0204	AI-5395_10_10_assembly.fasta	10	10	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.2804	0.9737	NA
11	farm irrigation water	NA	not applicable	YW25_0204	AI-5395_11_11_assembly.fasta	11	11	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.2741	0.9732	NA
12	farm irrigation water	NA	not applicable	YW24_0204	AI-5395_12_12_assembly.fasta	12	12	GCF_003697165.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	0.2738	0.9731	NA
