FILE	SCHEME	ST	adk	fumC	gyrB	icd	mdh	purA	recA
AI-5395_10_10_assembly.fasta	ecoli	744	10	11	135	8	8	8	2
AI-5395_11_11_assembly.fasta	ecoli	2601	10	7	4	10	12	8	2
AI-5395_12_12_assembly.fasta	ecoli	602	6	19	33	26	11	8	6
AI-5395_13_13_assembly.fasta	ecoli	117	20	45	41	43	5	32	2
AI-5395_14_14_assembly.fasta	ecoli	1193	14	14	10	200	17	7	10
AI-5395_15_15_assembly.fasta	ecoli	162	9	65	5	1	9	13	6
AI-5395_16_16_assembly.fasta	ecoli	129	6	23	3	26	9	7	7
AI-5395_17_17_assembly.fasta	ecoli	1727	6	19	3	16	11	8	6
AI-5395_18_18_assembly.fasta	ecoli	1193	14	14	10	200	17	7	10
AI-5395_19_19_assembly.fasta	ecoli	4049	6	520	32	26	9	8	2
AI-5395_1_1_assembly.fasta	ecoli	162	9	65	5	1	9	13	6
AI-5395_20_20_assembly.fasta	ecoli	1193	14	14	10	200	17	7	10
AI-5395_21_21_assembly.fasta	ecoli	38	4	26	2	25	5	5	19
AI-5395_22_22_assembly.fasta	ecoli	5229	43	41	15	18	11	7	44
AI-5395_23_23_assembly.fasta	ecoli	1049	6	4	14	16	24	5	14
AI-5395_24_24_assembly.fasta	ecoli	424	6	30	32	16	11	8	7
AI-5395_25_25_assembly.fasta	ecoli	349	34	36	39	87	67	16	4
AI-5395_26_26_assembly.fasta	ecoli	457	101	88	97	108	26	79	2
AI-5395_27_27_assembly.fasta	ecoli	720	35	3	58	6	5	16	4
AI-5395_28_28_assembly.fasta	ecoli	-	10	27	261	10	12	9	2
AI-5395_29_29_assembly.fasta	ecoli	38	4	26	2	25	5	5	19
AI-5395_2_2_assembly.fasta	ecoli	10	10	11	4	8	8	8	2
AI-5395_30_30_assembly.fasta	ecoli	2328	6	95	3	18	11	122	6
AI-5395_31_31_assembly.fasta	ecoli	182	6	58	54	54	1	2	47
AI-5395_32_32_assembly.fasta	ecoli	-	10	~1292	4	8	8	2	2
AI-5395_33_33_assembly.fasta	ecoli	642	9	23	33	18	11	8	6
AI-5395_34_34_assembly.fasta	ecoli	58	6	4	4	16	24	8	14
AI-5395_35_35_assembly.fasta	ecoli	156	6	29	32	16	11	8	44
AI-5395_36_36_assembly.fasta	ecoli	2280	6	4	15	246	11	8	14
AI-5395_37_37_assembly.fasta	ecoli	58	6	4	4	16	24	8	14
AI-5395_38_38_assembly.fasta	ecoli	453	99	6	33	33	24	8	7
AI-5395_39_39_assembly.fasta	ecoli	-	6	8	32	~159	9	23	7
AI-5395_3_3_assembly.fasta	ecoli	117	20	45	41	43	5	32	2
AI-5395_40_40_assembly.fasta	ecoli	3902	136	7	4	8	179	8	2
AI-5395_41_41_assembly.fasta	ecoli	6721	6	4	14	718	24	8	14
AI-5395_42_43_assembly.fasta	ecoli	410	6	4	12	1	20	18	7
AI-5395_43_44_assembly.fasta	ecoli	135	13	39	50	13	16	37	25
AI-5395_44_45_assembly.fasta	ecoli	10	10	11	4	8	8	8	2
AI-5395_45_46_assembly.fasta	ecoli	602	6	19	33	26	11	8	6
AI-5395_46_47_assembly.fasta	ecoli	2705	10	11	4	10	7	8	2
AI-5395_47_48_assembly.fasta	ecoli	5765	6	65	32	26	9	8	402
AI-5395_48_49_assembly.fasta	ecoli	-	~6	7	5	1	~8	18	2
AI-5395_49_50_assembly.fasta	ecoli	-	~6	7	5	1	~8	18	2
AI-5395_4_4_assembly.fasta	ecoli	40	6	4	5	26	20	8	14
AI-5395_50_51_assembly.fasta	ecoli	10391	218	371	53	140	247	2	216
AI-5395_51_53_assembly.fasta	ecoli	744	10	11	135	8	8	8	2
AI-5395_52_54_assembly.fasta	ecoli	-	20	45	41	43	5	32	775?
AI-5395_53_55_assembly.fasta	ecoli	349	34	36	39	87	67	16	4
AI-5395_54_56_assembly.fasta	ecoli	69	21	35	27	6	5	5	4
AI-5395_55_57_assembly.fasta	ecoli	1737	6	23	32	88	9	8	7
AI-5395_56_58_assembly.fasta	ecoli	2973	6	95	158	56	11	8	41
AI-5395_57_59_assembly.fasta	ecoli	212	6	29	4	18	11	8	6
AI-5395_58_60_assembly.fasta	ecoli	602	6	19	33	26	11	8	6
AI-5395_59_61_assembly.fasta	ecoli	602	6	19	33	26	11	8	6
AI-5395_5_5_assembly.fasta	ecoli	69	21	35	27	6	5	5	4
AI-5395_60_62_assembly.fasta	ecoli	10	10	11	4	8	8	8	2
AI-5395_61_63_assembly.fasta	ecoli	5204	64	11	5	8	7	8	335
AI-5395_62_64_assembly.fasta	ecoli	10	10	11	4	8	8	8	2
AI-5395_63_65_assembly.fasta	ecoli	-	101	585	97	29	70	158	2
AI-5395_64_66_assembly.fasta	ecoli	162	9	65	5	1	9	13	6
AI-5395_65_67_assembly.fasta	ecoli	3941	6	511	4	10	7	8	6
AI-5395_66_68_assembly.fasta	ecoli	10	10	11	4	8	8	8	2
AI-5395_67_69_assembly.fasta	ecoli	744	10	11	135	8	8	8	2
AI-5395_68_70_assembly.fasta	ecoli	1629	83	12	155	30	1	1	17
AI-5395_69_71_assembly.fasta	ecoli	1629	83	12	155	30	1	1	17
AI-5395_6_6_assembly.fasta	ecoli	1673	6	23	4	1	7	8	14
AI-5395_70_72_assembly.fasta	ecoli	10	10	11	4	8	8	8	2
AI-5395_71_73_assembly.fasta	ecoli	155	6	4	14	16	24	8	14
AI-5395_72_74_assembly.fasta	ecoli	744	10	11	135	8	8	8	2
AI-5395_7_7_assembly.fasta	ecoli	156	6	29	32	16	11	8	44
AI-5395_8_8_assembly.fasta	ecoli	5229	43	41	15	18	11	7	44
AI-5395_9_9_assembly.fasta	ecoli	3902	136	7	4	8	179	8	2
