#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	39117	40172	+	hlyE	1-1056/1056	===============	0/0	100.00	98.58	ecoli_vf	gi:209398688	hemolysin E	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	73297	74085	+	ycfz	1-789/789	========/======	2/2	99.87	90.00	ecoli_vf	SPG000092	putative factor	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	113606	114559	-	flgL	1-954/954	===============	0/0	100.00	97.17	ecoli_vf	gi:15801200	flagellar hook-associated protein FlgL	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	114571	116214	-	flgK	1-1644/1644	===============	0/0	100.00	98.66	ecoli_vf	gi:15801199	flagellar hook-associated protein FlgK	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	116280	117221	-	flgJ	1-942/942	===============	0/0	100.00	98.30	ecoli_vf	gi:15801198	flagellar rod assembly protein/muramidase FlgJ	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	117221	118318	-	flgI	1-1098/1098	===============	0/0	100.00	97.91	ecoli_vf	gi:15801197	flagellar basal body P-ring protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	118330	119028	-	flgH	1-699/699	===============	0/0	100.00	99.57	ecoli_vf	gi:15801196	flagellar basal body L-ring protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	119081	119863	-	flgG	1-783/783	===============	0/0	100.00	99.36	ecoli_vf	gi:15801195	flagellar basal body rod protein FlgG	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	120001	120756	-	flgF	1-756/756	===============	0/0	100.00	98.55	ecoli_vf	gi:15801194	flagellar basal body rod protein FlgF	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	120776	121981	-	flgE	1-1206/1206	===============	0/0	100.00	98.18	ecoli_vf	gi:15801193	flagellar hook protein FlgE	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	122006	122701	-	flgD	1-696/696	===============	0/0	100.00	98.85	ecoli_vf	gi:15801192	flagellar basal body rod modification protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	122713	123117	-	flgC	1-405/405	===============	0/0	100.00	98.77	ecoli_vf	gi:15801191	flagellar basal body rod protein FlgC	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	123121	123537	-	flgB	1-417/417	===============	0/0	100.00	99.28	ecoli_vf	gi:15801190	flagellar basal body rod protein FlgB	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	123692	124351	+	flgA	1-660/660	===============	0/0	100.00	97.27	ecoli_vf	gi:15801189	flagellar basal body P-ring biosynthesis protein FlgA	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	124725	125141	+	flgN	1-417/417	===============	0/0	100.00	98.32	ecoli_vf	gi:15801187	flagella synthesis protein FlgN	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	149265	149597	-	csgC	1-333/333	===============	0/0	100.00	98.50	ecoli_vf	VFG045794	putative curli production protein CsgC	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	149656	150111	-	csgA	1-459/459	========/======	1/3	99.35	93.46	ecoli_vf	gi:15801159	cryptic curlin major subunit	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	150152	150634	-	csgB	1-483/483	===============	0/0	100.00	99.59	ecoli_vf	VFG045792	minor curlin subunit CsgB	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	151361	152011	+	csgD	1-651/651	===============	0/0	100.00	99.23	ecoli_vf	VFG045791	putative 2-component transcriptional regulator for 2nd curli operon	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	152016	152405	+	csgE	1-390/390	===============	0/0	100.00	99.23	ecoli_vf	gi:15801156	curli assembly protein CsgE	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	152430	152846	+	csgF	1-417/417	===============	0/0	100.00	99.76	ecoli_vf	gi:15801155	curli assembly protein CsgF	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	152873	153706	+	csgG	1-834/834	===============	0/0	100.00	98.20	ecoli_vf	gi:15801154	curli production assembly/transport component 2nd curli operon	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	223703	224755	+	Z1307	1-1041/1041	========/======	1/12	100.00	94.87	ecoli_vf	gi:15800816	outer membrane protein A	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	239110	239847	-	ycbF	1-738/738	===============	0/0	100.00	97.29	ecoli_vf	gi:15804987	putativi pili assembly chaperone	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	239813	240376	-	ycbV	1-564/564	===============	0/0	100.00	97.34	ecoli_vf	gi:15800803	putative fimbrial-like protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	240336	240812	-	ycbU	1-477/477	===============	0/0	100.00	100.00	ecoli_vf	gi:15800802	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	240980	241960	-	ycbT	1-981/981	===============	0/0	100.00	97.45	ecoli_vf	gi:15800801	fimbrial protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	241951	244551	-	ycbS	1-2601/2601	===============	0/0	100.00	97.89	ecoli_vf	gi:15804976	PapC-like porin protein involved in fimbrial biogenesis	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	244576	245277	-	ycbR	1-702/702	===============	0/0	100.00	97.44	ecoli_vf	gi:15800800	putative chaperone	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	245360	245911	-	ycbQ	1-549/549	========/======	1/3	100.00	82.43	ecoli_vf	gi:15800799	putative fimbrial-like protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	358286	359017	+	artj	1-732/732	===============	0/0	100.00	96.86	ecoli_vf	SPG000096	E.coli artP artI artQ artM and artJ genes.	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	10	12681	17531	+	upaG/ehaG	1-4851/4851	===============	0/0	100.00	99.63	ecoli_vf	gi:260846630	adhesin	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	10	100073	101950	-	espL3	1-1878/1878	===============	0/0	100.00	99.04	ecoli_vf	SPG000024	gi|47118301:4652971-4654848 Escherichia coli O157:H7 str. Sakai DNA complete genome PTS system arbutin-like IIC component	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	10	149775	150848	-	stgD	1-1074/1074	===============	0/0	100.00	99.44	ecoli_vf	gi:46487742	StgD	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	10	150859	153381	-	stgC	1-2523/2523	===============	0/0	100.00	99.80	ecoli_vf	gi:46487741	StgC	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	10	153406	154137	-	stgB	1-732/732	===============	0/0	100.00	99.86	ecoli_vf	gi:46487740	StgB	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	10	154185	154757	-	lpfao113	1-573/573	===============	0/0	100.00	100.00	ecoli_vf	SPG000109	Escherichia coli fimbrial operon complete sequence.	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	11	111389	112477	-	cfaD	1-1089/1089	===============	0/0	100.00	99.91	ecoli_vf	gi:157157077	pilus biogenesis initiator protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	11	112474	115176	-	cfaC	1-2703/2703	===============	0/0	100.00	99.96	ecoli_vf	gi:410480837	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	11	115250	115750	-	cfaB	1-501/501	===============	0/0	100.00	100.00	ecoli_vf	gi:260845908	fimbrial subunit	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	11	115780	116496	-	cfaA	1-717/717	===============	0/0	100.00	100.00	ecoli_vf	gi:260869848	putative fimbrial protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	13	6817	8391	-	espL4	1-1575/1575	===============	0/0	100.00	99.24	ecoli_vf	gi:260870723	T3SS effector-like protein EspL	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	13	39493	41073	+	espX4	1-1581/1581	========/======	2/2	99.94	92.92	ecoli_vf	gi:15804631	Type III secretion system effector EspX4	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	13	70598	71896	-	espX5	1-1293/1293	========/======	1/6	100.00	95.30	ecoli_vf	gi:291285483	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	13	137620	139795	-	cadA	1-2176/2176	===============	0/0	100.00	99.49	ecoli_vf	SPG000027	gb|AY319765.1|:1081-3256 Escherichia coli cadBA operon partial sequence	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	14	39958	41289	-	espR1	1-1332/1332	===============	0/0	100.00	99.78	ecoli_vf	gi:260843778	T3SS effector-like protein EspR-homolog	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	14	82048	82962	-	Z2206	1-915/915	===============	0/0	100.00	98.25	ecoli_vf	gi:15801636	putative adhesin; FimH protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	14	83021	83524	-	fimG	1-504/504	===============	0/0	100.00	100.00	ecoli_vf	gi:410482685	fimbrial-like adhesin protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	14	83537	84067	-	Z2204	1-531/531	===============	0/0	100.00	99.62	ecoli_vf	gi:15801634	putative fimbrial-like protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	14	84081	86732	-	fimD	1-2652/2652	===============	0/0	100.00	98.94	ecoli_vf	gi:410482683	fimbrial outer membrane usher protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	14	86774	87493	-	Z2201	1-720/720	===============	0/0	100.00	98.19	ecoli_vf	gi:15801632	putative fimbrial chaperone protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	14	87845	88408	-	Z2200	1-564/564	===============	0/0	100.00	99.11	ecoli_vf	gi:15801631	putative major fimbrial subunit	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	15	15257	16678	-	espX1	1-1422/1422	===============	0/0	100.00	99.86	ecoli_vf	gi:260866172	T3SS effector-like protein EspX	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	15	109212	110414	-	hofC	1-1203/1203	===============	0/0	100.00	97.34	ecoli_vf	gi:15799790	type IV pilin biogenesis protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	15	110404	111789	-	hofB	1-1386/1386	===============	0/0	100.00	97.69	ecoli_vf	gi:15799791	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	15	111799	112239	-	ppdD	1-441/441	===============	0/0	100.00	98.64	ecoli_vf	gi:15799792	putative major pilin subunit	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	10923	11405	-	aec32	1-483/483	===============	0/0	100.00	100.00	ecoli_vf	gi:260866361	Hcp-like protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	13773	15185	-	aec29	1-1413/1413	===============	0/0	100.00	99.93	ecoli_vf	gi:157156439	ImpA domain-containing protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	15190	15933	-	aec28	1-744/744	===============	0/0	100.00	99.87	ecoli_vf	gi:260842449	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	15930	18689	-	clpV	1-2760/2760	===============	0/0	100.00	96.81	ecoli_vf	gi:157157697	ATP-dependent chaperone protein ClpB	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	18698	19459	-	aec26	1-762/762	===============	0/0	100.00	98.29	ecoli_vf	gi:260853429	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	19464	20795	-	aec25	1-1332/1332	===============	0/0	100.00	98.12	ecoli_vf	gi:410484146	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	20798	21322	-	aec24	1-525/525	===============	0/0	100.00	100.00	ecoli_vf	gi:260842453	lipoprotein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	21319	22620	-	aec23	1-1302/1302	===============	0/0	100.00	97.31	ecoli_vf	gi:15799907	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	22624	23712	-	aec22	1-1089/1089	===============	0/0	100.00	99.17	ecoli_vf	gi:218693690	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	23670	25520	-	UMNK88_238	1-1851/1851	===============	0/0	100.00	99.95	ecoli_vf	gi:386612389	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	25524	25937	-	aec19	1-414/414	===============	0/0	100.00	100.00	ecoli_vf	gi:260842457	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	25944	27419	-	aec18	1-1476/1476	===============	0/0	100.00	100.00	ecoli_vf	gi:410484140	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	27470	27694	-	Z0263	1-225/225	===============	0/0	100.00	100.00	ecoli_vf	gi:15799912	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	27729	28229	-	aec17	1-501/501	===============	0/0	100.00	99.80	ecoli_vf	gi:386612393	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	28656	28799	+	Z0265	1-144/144	===============	0/0	100.00	99.31	ecoli_vf	gi:15799914	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	28926	29444	+	hcp	1-519/519	===============	0/0	100.00	99.81	ecoli_vf	gi:15799915	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	67841	68596	-	matF	1-756/756	===============	0/0	100.00	97.49	ecoli_vf	VFG045787	Mat/Ecp fimbriae periplasmic chaperone protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	68520	70163	-	ecpD	1-1644/1644	===============	0/0	100.00	99.94	ecoli_vf	gi:260853520	hypothetical protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	70153	72678	-	ecpC	1-2526/2526	===============	0/0	100.00	99.76	ecoli_vf	gi:260853521	outer membrane usher protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	72704	73421	-	ecpB	1-717/717	========/======	1/1	100.00	98.33	ecoli_vf	gi:26246301	Hypothetical protein yagY precursor	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	73430	74017	-	ecpA	1-588/588	===============	0/0	100.00	100.00	ecoli_vf	gi:157155651	fimbrillin MatB	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	74092	74682	-	ecpR	1-591/591	===============	0/0	100.00	99.66	ecoli_vf	gi:410484079	transcriptional regulator	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	77702	81955	+	eaeH	1-4254/4254	===============	0/0	100.00	97.04	ecoli_vf	gi:410484074	adhesin	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	104480	108529	+	ehaA	1-4050/4050	===============	0/0	100.00	98.52	ecoli_vf	gi:218693774	AidA-I adhesin-like protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	45163	45946	-	fliR	1-784/786	===============	0/0	99.75	95.15	ecoli_vf	gi:15802385	flagellar biosynthesis protein FliR	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	45955	46224	-	fliQ	1-270/270	===============	0/0	100.00	97.41	ecoli_vf	gi:15802384	flagellar biosynthesis protein FliQ	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	46234	46971	-	fliP	1-738/738	===============	0/0	100.00	95.80	ecoli_vf	gi:15802383	flagellar biosynthesis protein FliP	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	46971	47336	-	fliO	1-366/366	===============	0/0	100.00	95.90	ecoli_vf	gi:161367586	flagellar biosynthesis protein FliO	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	47339	47752	-	fliN	1-414/414	===============	0/0	100.00	95.89	ecoli_vf	gi:15802381	flagellar motor switch protein FliN	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	47749	48753	-	fliM	1-1005/1005	===============	0/0	100.00	95.22	ecoli_vf	gi:15802380	flagellar motor switch protein FliM	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	48758	49222	-	fliL	1-465/465	===============	0/0	100.00	97.42	ecoli_vf	gi:15802379	flagellar basal body-associated protein FliL	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	49327	50454	-	fliK	1-1128/1128	===============	0/0	100.00	92.73	ecoli_vf	gi:15802378	flagellar hook-length control protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	50451	50894	-	fliJ	1-444/444	===============	0/0	100.00	96.85	ecoli_vf	gi:15802377	flagellar biosynthesis chaperone	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	50918	52286	-	fliI	1-1369/1374	===============	0/0	99.64	94.67	ecoli_vf	gi:161367587	flagellum-specific ATP synthase	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	52286	52972	-	fliH	1-687/687	===============	0/0	100.00	93.01	ecoli_vf	gi:161367588	flagellar assembly protein H	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	52965	53960	-	fliG	1-996/996	===============	0/0	100.00	96.89	ecoli_vf	gi:15802374	flagellar motor switch protein G	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	53953	55611	-	fliF	1-1659/1659	===============	0/0	100.00	95.24	ecoli_vf	gi:15802373	flagellar MS-ring protein	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	55825	56138	+	fliE	1-314/315	===============	0/0	99.68	97.13	ecoli_vf	gi:15802372	flagellar hook-basal body protein FliE	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	64976	65341	-	fliT	1-366/366	===============	0/0	100.00	96.45	ecoli_vf	gi:15802361	flagellar biosynthesis protein FliT	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	65341	65751	-	fliS	1-411/411	===============	0/0	100.00	98.05	ecoli_vf	gi:15802360	flagellar protein FliS	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	17	65776	67182	-	fliD	1-1398/1398	========/======	1/9	100.00	97.58	ecoli_vf	gi:15802359	flagellar capping protein	
