#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
AA_CKDN230030154-1A_HGKHYDSX7_L2.MOBre/plasmid_AA474.fasta	40	2020	3225	+	tet(B)_2	1-1206/1206	===============	0/0	100.00	100.00	resfinder	AF326777	tet(B)	Doxycycline;Tetracycline;Minocycline
AA_CKDN230030154-1A_HGKHYDSX7_L2.MOBre/plasmid_AA474.fasta	40	5872	6747	+	blaCTX-M-8_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AF189721	blaCTX-M-8	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
AA_CKDN230030154-1A_HGKHYDSX7_L2.MOBre/plasmid_AB595.fasta	39	5008	6221	+	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
AA_CKDN230030154-1A_HGKHYDSX7_L2.MOBre/plasmid_AB595.fasta	39	6822	8096	-	tet(A)_6	1-1275/1275	===============	0/0	100.00	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
AA_CKDN230030154-1A_HGKHYDSX7_L2.MOBre/plasmid_AB595.fasta	39	9357	10193	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
AA_CKDN230030154-1A_HGKHYDSX7_L2.MOBre/plasmid_AB595.fasta	39	10193	10996	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
AA_CKDN230030154-1A_HGKHYDSX7_L2.MOBre/plasmid_AB595.fasta	39	11057	11872	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
AB_CKDN230030155-1A_HGKHYDSX7_L2.MOBre/plasmid_AA474.fasta	16	4360	5235	-	blaCTX-M-8_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AF189721	blaCTX-M-8	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
AB_CKDN230030155-1A_HGLMJDSX7_L1.MOBre/plasmid_AA474.fasta	15	17475	18350	+	blaCTX-M-8_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AF189721	blaCTX-M-8	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
AF_CKDN230030159-1A_HGKHYDSX7_L2.MOBre/plasmid_AA275.fasta	31	147	1007	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
AF_CKDN230030159-1A_HGKHYDSX7_L2.MOBre/plasmid_AA275.fasta	31	3829	4704	+	blaCTX-M-15_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY044436	blaCTX-M-15	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
