Filename	PubMLST_scheme_name	SeqType	Allele_ID_1	Allele_ID_2	Allele_ID_3	Allele_ID_4	Allele_ID_5	Allele_ID_6	Allele_ID_7
AI-1608_103_103_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_104_104_assembly.fasta	ecoli	452	adk(76)	fumC(43)	gyrB(19)	icd(37)	mdh(30)	purA(1)	recA(25)
AI-1608_105_105_assembly.fasta	ecoli	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
AI-1608_106_106_assembly.fasta	ecoli	2847	adk(6)	fumC(266)	gyrB(83)	icd(24)	mdh(1)	purA(1)	recA(2)
AI-1608_107_107_assembly.fasta	ecoli	-	adk(6)	fumC(4)	gyrB(15)	icd(18)	mdh(24)	purA(26)	recA(205)
AI-1608_108_108_assembly.fasta	ecoli	5296	adk(6)	fumC(23)	gyrB(15)	icd(18)	mdh(9)	purA(8)	recA(7)
AI-1608_109_109_assembly.fasta	ecoli	1196	adk(6)	fumC(6)	gyrB(33)	icd(26)	mdh(11)	purA(8)	recA(2)
AI-1608_110_110_assembly.fasta	ecoli	656	adk(10)	fumC(7)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_111_111_assembly.fasta	ecoli	349	adk(34)	fumC(36)	gyrB(39)	icd(87)	mdh(67)	purA(16)	recA(4)
AI-1608_112_112_assembly.fasta	ecloacae	402	dnaA(117)	fusA(84)	gyrB(141)	leuS(15)	pyrG(124)	rplB(62)	rpoB(86)
AI-1608_113_113_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_114_114_assembly.fasta	ecoli	5156	adk(17)	fumC(100)	gyrB(167)	icd(96)	mdh(7)	purA(9)	recA(167)
AI-1608_115_115_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_116_116_assembly.fasta	ecoli	1643	adk(13)	fumC(24)	gyrB(58)	icd(37)	mdh(17)	purA(11)	recA(25)
AI-1608_117_117_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_118_118_assembly.fasta	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
AI-1608_119_119_assembly.fasta	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
AI-1608_120_120_assembly.fasta	ecoli	167	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
AI-1608_121_121_assembly.fasta	ecoli	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
AI-1608_122_122_assembly.fasta	ecoli	38	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
AI-1608_123_123_assembly.fasta	ecoli	10	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_124_124_assembly.fasta	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
AI-1608_125_125_assembly.fasta	ecoli	349	adk(34)	fumC(36)	gyrB(39)	icd(87)	mdh(67)	purA(16)	recA(4)
AI-1608_127_127_assembly.fasta	ecoli	5459	adk(17)	fumC(363)	gyrB(13)	icd(128)	mdh(279)	purA(214)	recA(2)
AI-1608_128_128_assembly.fasta	ecoli	117	adk(20)	fumC(45)	gyrB(41)	icd(43)	mdh(5)	purA(32)	recA(2)
AI-1608_129_129_assembly.fasta	ecoli	2847	adk(6)	fumC(266)	gyrB(83)	icd(24)	mdh(1)	purA(1)	recA(2)
AI-1608_130_130_assembly.fasta	ecoli	164	adk(6)	fumC(4)	gyrB(32)	icd(16)	mdh(12)	purA(8)	recA(7)
AI-1608_131_131_assembly.fasta	ecoli	349	adk(34)	fumC(36)	gyrB(39)	icd(87)	mdh(67)	purA(16)	recA(4)
AI-1608_132_132_assembly.fasta	ecoli	315	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(8)	recA(19)
AI-1608_133_133_assembly.fasta	ecoli	315	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(8)	recA(19)
AI-1608_134_134_assembly.fasta	ecoli	-	adk(85)	fumC(88)	gyrB(13)	icd(29)	mdh(59)	purA(58)	recA(62)
AI-1608_135_135_assembly.fasta	ecoli	155	adk(6)	fumC(4)	gyrB(14)	icd(16)	mdh(24)	purA(8)	recA(14)
AI-1608_136_136_assembly.fasta	cfreundii	-	aspC(171)	clpX(193)	fadD(112)	mdh(172)	arcA(~114)	dnaG(84)	lysP(101)
AI-1608_137_137_assembly.fasta	ecoli	2964	adk(35)	fumC(411)	gyrB(234)	icd(342)	mdh(5)	purA(5)	recA(95)
AI-1608_138_138_assembly.fasta	ecoli	4741	adk(10)	fumC(11)	gyrB(418)	icd(8)	mdh(8)	purA(8)	recA(2)
AI-1608_139_139_assembly.fasta	ecoli	131	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
