#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	150152	150607	-	csgB	1-456/456	========/======	2/2	99.78	83.81	vfdb	NP_460114	(csgB) minor curlin subunit precursor curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	151361	152011	+	csgD	1-651/651	===============	0/0	100.00	81.11	vfdb	NP_460113	(csgD) DNA-binding transcriptional regulator CsgD [curli fibers/thin aggregative fimbriae (AGF) (AI094)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	152430	152846	+	csgF	1-417/417	========/======	3/8	99.04	81.23	vfdb	NP_460111	(csgF) curli production assembly/transport protein CsgF [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	152873	153706	+	csgG	1-834/834	===============	0/0	100.00	82.97	vfdb	NP_460110	(csgG) curli production assembly/transport protein CsgG [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	1	223703	224755	+	ompA	1-1041/1041	========/======	1/12	100.00	94.30	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	13	39493	41073	+	espX4	1-1581/1581	========/======	2/2	99.94	92.92	vfdb	NP_290672	(espX4) Type III secretion system effector EspX4 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	13	70598	71896	-	espX5	1-1293/1293	========/======	1/6	100.00	95.15	vfdb	NP_290699	(espX5) Type III secretion system effector EspX5 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	14	39959	41014	-	espR1	198-1253/1260	..=============	0/0	83.81	94.13	vfdb	NP_287686	(espR1) Type III secretion system effector espR1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	15	15257	16678	-	espX1	1-1422/1422	===============	0/0	100.00	94.37	vfdb	NP_285716	(espX1) Type III secretion system effector EspX1 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	67843	68596	-	yagV/ecpE	1-754/756	===============	0/0	99.74	96.68	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	68520	70163	-	yagW/ecpD	1-1644/1644	===============	0/0	100.00	98.60	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	70153	72678	-	yagX/ecpC	1-2526/2526	===============	0/0	100.00	98.61	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
AA_CKDN230030154-1A_HGKHYDSX7_L2.fasta/assembly.fasta	16	72704	73372	-	yagY/ecpB	1-669/669	===============	0/0	100.00	98.66	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
