#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	53916	54818	-	fimH	1-903/903	===============	0/0	100.00	99.89	ecoli_vf	gi:157157381	protein FimH	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	54838	55341	-	fimG	1-504/504	===============	0/0	100.00	99.80	ecoli_vf	gi:157157856	protein fimG	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	55354	55884	-	fimF	1-531/531	===============	0/0	100.00	100.00	ecoli_vf	gi:218561494	minor component of type 1 fimbriae	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	55894	58530	-	fimD	1-2637/2637	===============	0/0	100.00	99.70	ecoli_vf	gi:218561493	outer membrane usher protein type 1 fimbrial synthesis	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	58597	59322	-	fimC	1-726/726	===============	0/0	100.00	99.45	ecoli_vf	gi:218561492	chaperone periplasmic	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	59359	60016	-	fimI	6-663/663	===============	0/0	99.25	98.78	ecoli_vf	gi:386632331	fimbrin-like protein fimI	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	59963	60574	-	fimA	1-612/612	===============	0/0	100.00	94.77	ecoli_vf	gi:117626622	type 1 fimbriae major subunit FimA	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	60999	61595	-	fimE	1-597/597	===============	0/0	100.00	99.83	ecoli_vf	gi:218561489	tyrosine recombinase	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	62072	62674	-	fimB	1-603/603	===============	0/0	100.00	100.00	ecoli_vf	gi:387615045	tyrosine recombinase/inversion of on/off regulator of fimA	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	258628	260803	+	cadA	1-2176/2176	===============	0/0	100.00	99.22	ecoli_vf	SPG000027	gb|AY319765.1|:1081-3256 Escherichia coli cadBA operon partial sequence	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	333647	334939	+	espX5	1-1293/1293	===============	0/0	100.00	97.45	ecoli_vf	gi:291285483	hypothetical protein	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	376339	377794	-	espX4	126-1581/1581	.=======/======	2/2	92.03	93.75	ecoli_vf	gi:15804631	Type III secretion system effector EspX4	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	406821	409007	+	espL4	1-2187/2187	===============	0/0	100.00	97.35	ecoli_vf	gi:15804603	Type III secretion system effector EspL4	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	415789	416208	-	yjaa	1-420/420	===============	0/0	100.00	98.57	ecoli_vf	SPG000135	hypothetical protein	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	479143	480876	+	ibeC	1-1734/1734	===============	0/0	100.00	99.94	ecoli_vf	gi:387614643	hypothetical protein	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	643303	644731	+	aslA	1-1428/1428	========/======	1/1	100.00	93.56	ecoli_vf	gi:9965749	putative arylsulfatase	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	768688	770564	+	espL3	1-1877/1878	===============	0/0	99.95	98.83	ecoli_vf	SPG000024	gi|47118301:4652971-4654848 Escherichia coli O157:H7 str. Sakai DNA complete genome PTS system arbutin-like IIC component	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	966784	967416	+	gadX	1-633/633	===============	0/0	100.00	100.00	ecoli_vf	SPG000043	gb|ADUM01000070.1|:99762-100394 Escherichia coli 3431 gec3431.assembly.48 whole genome shotgun sequence HTH-type transcriptional regulator gadX	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	1109725	1110963	+	hofq	1-1239/1239	===============	0/0	100.00	98.79	ecoli_vf	SPG000051	Outer membrane secretin Adherence Hemorrhagic coli pilus	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	1164208	1164885	-	gspo	1-678/678	===============	0/0	100.00	99.85	ecoli_vf	SPG000100	Prepilin peptidase Secretion system Type II Secretion System	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	1321568	1322452	+	ECS88_3547	1-885/885	===============	0/0	100.00	99.77	ecoli_vf	gi:218560235	lipoprotein NlpI	
