#FILE	NUM_FOUND	aac(3)-IIa_1	aac(3)-IId_1	aac(3)-IVa_1	aadA2_1	aadA5_1	ant(3'')-Ia_1	aph(3'')-Ib_2	aph(3'')-Ib_5	aph(3')-IIa_2	aph(3')-Ia_1	aph(3')-Ia_3	aph(3')-Ia_9	aph(4)-Ia_1	aph(6)-Id_1	blaCARB-2_1	blaCMY-2_1	blaCTX-M-130_1	blaCTX-M-15_1	blaCTX-M-27_1	blaCTX-M-55_1	blaCTX-M-65_1	blaCTX-M-8_1	blaTEM-106_1	blaTEM-141_1	blaTEM-176_1	blaTEM-1B_1	catA1_1	catA2_1	cmlA1_1	dfrA12_5	dfrA12_8	dfrA14_5	dfrA16_2	dfrA17_1	dfrA1_10	dfrA1_8	dfrA8_1	floR_2	fosA3_1	fosA7_1	lnu(F)_1	mcr-1.1_1	mdf(A)_1	mph(A)_2	qepA4_1	qnrB19_1	qnrS1_1	sul1_5	sul2_2	sul2_3	sul3_2	tet(A)_6	tet(B)_1	tet(B)_2
AI-5393*_Abricate_resfinder.tsv	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
AI-5395_10_10_assembly_Abricate_resfinder.tsv	14	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	86.64	.	100.00	100.00	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	100.00	.	100.00	.	.	.	100.00
AI-5395_11_11_assembly_Abricate_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_12_12_assembly_Abricate_resfinder.tsv	10	.	.	.	97.92	.	82.51	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	97.80	.	.
AI-5395_13_13_assembly_Abricate_resfinder.tsv	14	.	.	.	97.92	.	82.51	.	100.00	100.00	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	86.64	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	99.92	.	.	.	.	100.00	.	.	.	.	.	100.00	.	100.00	100.00	.	.
AI-5395_14_14_assembly_Abricate_resfinder.tsv	10	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	97.80	.	.
AI-5395_15_15_assembly_Abricate_resfinder.tsv	13	.	100.00	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	99.92	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00;100.00	.	.	100.00	.	.
AI-5395_16_16_assembly_Abricate_resfinder.tsv	5	.	.	.	.	.	.	99.88	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00
AI-5395_17_17_assembly_Abricate_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.
AI-5395_18_18_assembly_Abricate_resfinder.tsv	10	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	100.00	100.00	.	.	97.80	.	.
