#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3391520	3392356	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3392356	3393159	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3393220	3394035	-	sul2_3	1-816/816	===============	0/0	100.00	100.00	resfinder	HQ840942	sul2	Sulfamethoxazole
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3397239	3398099	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3399523	3400444	+	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3405739	3406605	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3407125	3407913	-	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3408044	3408517	-	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3414541	3415200	-	catA1_1	1-660/660	===============	0/0	100.00	99.85	resfinder	V00622	catA1	Chloramphenicol
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3417508	3418725	+	tet(B)_2	1-1206/1206	========/======	1/12	100.00	99.02	resfinder	AF326777	tet(B)	Doxycycline;Tetracycline;Minocycline
AI-5395_10_10_assembly.fasta	AI-5395_10_10_1	3777523	3778755	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
AI-5395_10_10_assembly.fasta	AI-5395_10_10_3	20851	21267	-	fosA3_1	1-417/417	===============	0/0	100.00	100.00	resfinder	AB522970	fosA3	Fosfomycin
AI-5395_10_10_assembly.fasta	AI-5395_10_10_3	22230	22975	+	blaTEM-141_1	116-861/861	..=============	0/0	86.64	99.87	resfinder	AY956335	blaTEM-141	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
AI-5395_10_10_assembly.fasta	AI-5395_10_10_3	23757	24632	-	blaCTX-M-55_1	1-876/876	===============	0/0	100.00	100.00	resfinder	DQ810789	blaCTX-M-55	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
AI-5395_11_11_assembly.fasta	AI-5395_11_11_1	516715	517947	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
AI-5395_12_12_assembly.fasta	AI-5395_12_12_1	63716	64948	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	98.38	resfinder	Y08743	mdf(A)	
AI-5395_12_12_assembly.fasta	AI-5395_12_12_1	1159949	1160371	-	fosA7_1	1-423/423	===============	0/0	100.00	94.09	resfinder	LAPJ01000014	fosA7	Fosfomycin
AI-5395_12_12_assembly.fasta	AI-5395_12_12_2	89916	90776	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
AI-5395_12_12_assembly.fasta	AI-5395_12_12_2	93877	94752	-	blaCTX-M-65_1	1-876/876	===============	0/0	100.00	100.00	resfinder	EF418608	blaCTX-M-65	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
AI-5395_12_12_assembly.fasta	AI-5395_12_12_3	13122	13913	+	sul3_2	1-792/792	===============	0/0	100.00	100.00	resfinder	AJ459418	sul3	Sulfamethoxazole
AI-5395_12_12_assembly.fasta	AI-5395_12_12_3	15595	16396	-	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin
AI-5395_12_12_assembly.fasta	AI-5395_12_12_3	16479	17738	-	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.92	resfinder	M64556	cmlA1	Chloramphenicol
AI-5395_12_12_assembly.fasta	AI-5395_12_12_3	18000	18801	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
AI-5395_12_12_assembly.fasta	AI-5395_12_12_3	19199	19696	-	dfrA12_8	1-498/498	===============	0/0	100.00	100.00	resfinder	AM040708	dfrA12	Trimethoprim
AI-5395_12_12_assembly.fasta	AI-5395_12_12_3	118323	119569	+	tet(A)_6	1-1247/1275	===============	0/0	97.80	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
AI-5395_13_13_assembly.fasta	AI-5395_13_13_1	43739	44533	+	aph(3')-IIa_2	1-795/795	===============	0/0	100.00	100.00	resfinder	V00618	aph(3')-IIa	
AI-5395_13_13_assembly.fasta	AI-5395_13_13_1	45592	46337	+	blaTEM-141_1	116-861/861	..=============	0/0	86.64	99.87	resfinder	AY956335	blaTEM-141	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
AI-5395_13_13_assembly.fasta	AI-5395_13_13_1	48025	48900	+	blaCTX-M-55_1	1-876/876	===============	0/0	100.00	100.00	resfinder	DQ810789	blaCTX-M-55	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
AI-5395_13_13_assembly.fasta	AI-5395_13_13_2	673714	674946	+	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.89	resfinder	Y08743	mdf(A)	
AI-5395_13_13_assembly.fasta	AI-5395_13_13_2	4341190	4342005	+	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
AI-5395_13_13_assembly.fasta	AI-5395_13_13_2	4342066	4342869	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
AI-5395_13_13_assembly.fasta	AI-5395_13_13_2	4342869	4343705	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
AI-5395_13_13_assembly.fasta	AI-5395_13_13_2	4344966	4346240	+	tet(A)_6	1-1275/1275	===============	0/0	100.00	99.84	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
AI-5395_13_13_assembly.fasta	AI-5395_13_13_2	4346841	4348054	-	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
AI-5395_13_13_assembly.fasta	AI-5395_13_13_4	170435	170908	+	dfrA1_10	1-474/474	===============	0/0	100.00	99.79	resfinder	AF203818	dfrA1	Trimethoprim
AI-5395_13_13_assembly.fasta	AI-5395_13_13_4	175942	176733	+	sul3_2	1-792/792	===============	0/0	100.00	100.00	resfinder	AJ459418	sul3	Sulfamethoxazole
AI-5395_13_13_assembly.fasta	AI-5395_13_13_4	178415	179216	-	ant(3'')-Ia_1	171-972/972	..=============	0/0	82.51	99.75	resfinder	X02340	ant(3'')-Ia	Streptomycin
AI-5395_13_13_assembly.fasta	AI-5395_13_13_4	179299	180558	-	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.92	resfinder	M64556	cmlA1	Chloramphenicol
AI-5395_13_13_assembly.fasta	AI-5395_13_13_4	180820	181621	-	aadA2_1	18-819/819	===============	0/0	97.92	99.88	resfinder	NC_010870	aadA2	Streptomycin
AI-5395_14_14_assembly.fasta	AI-5395_14_14_1	1904814	1906046	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.89	resfinder	Y08743	mdf(A)	
AI-5395_14_14_assembly.fasta	AI-5395_14_14_4	229	1017	-	aadA5_1	1-789/789	===============	0/0	100.00	100.00	resfinder	AF137361	aadA5	Streptomycin
AI-5395_14_14_assembly.fasta	AI-5395_14_14_4	1148	1621	-	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
AI-5395_14_14_assembly.fasta	AI-5395_14_14_4	79757	80632	+	blaCTX-M-27_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AY156923	blaCTX-M-27	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
AI-5395_14_14_assembly.fasta	AI-5395_14_14_4	84244	85490	-	tet(A)_6	1-1247/1275	===============	0/0	97.80	100.00	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
AI-5395_14_14_assembly.fasta	AI-5395_14_14_4	86469	87305	-	aph(6)-Id_1	1-837/837	===============	0/0	100.00	99.88	resfinder	M28829	aph(6)-Id	Streptomycin
AI-5395_14_14_assembly.fasta	AI-5395_14_14_4	87305	88108	-	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
AI-5395_14_14_assembly.fasta	AI-5395_14_14_4	88169	88984	-	sul2_2	1-816/816	===============	0/0	100.00	100.00	resfinder	AY034138	sul2	Sulfamethoxazole
AI-5395_14_14_assembly.fasta	AI-5395_14_14_4	90355	91276	+	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
AI-5395_14_14_assembly.fasta	AI-5395_14_14_4	96571	97437	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
AI-5395_15_15_assembly.fasta	AI-5395_15_15_1	1924612	1925844	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	98.70	resfinder	Y08743	mdf(A)	
AI-5395_15_15_assembly.fasta	AI-5395_15_15_1	3015781	3016596	+	sul2_2	1-816/816	===============	0/0	100.00	99.88	resfinder	AY034138	sul2	Sulfamethoxazole
AI-5395_15_15_assembly.fasta	AI-5395_15_15_1	4531579	4532394	+	sul2_2	1-816/816	===============	0/0	100.00	99.88	resfinder	AY034138	sul2	Sulfamethoxazole
AI-5395_15_15_assembly.fasta	AI-5395_15_15_1	4532455	4533258	+	aph(3'')-Ib_5	1-804/804	===============	0/0	100.00	100.00	resfinder	AF321551	aph(3'')-Ib	Streptomycin
AI-5395_15_15_assembly.fasta	AI-5395_15_15_1	4533258	4534094	+	aph(6)-Id_1	1-837/837	===============	0/0	100.00	100.00	resfinder	M28829	aph(6)-Id	Streptomycin
AI-5395_15_15_assembly.fasta	AI-5395_15_15_1	4535355	4536629	+	tet(A)_6	1-1275/1275	===============	0/0	100.00	99.92	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
AI-5395_15_15_assembly.fasta	AI-5395_15_15_1	4537230	4538443	-	floR_2	1-1214/1215	===============	0/0	99.92	98.19	resfinder	AF118107	floR	Chloramphenicol;Florfenicol
AI-5395_15_15_assembly.fasta	AI-5395_15_15_2	47753	48613	-	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
AI-5395_15_15_assembly.fasta	AI-5395_15_15_2	79924	80784	+	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
